% Measured magnetic field noise along X axis by H. Tanaka on 2016.12.15 inside the IXC chamber.
% Frequency [Hz]	Magnetic Field [T/rtHz]
9.716279516	1.99E-11
10	4.79E-12
10.29200527	2.21E-12
10.59253725	3.71E-12
10.90184492	2.47E-12
11.22018454	3.36E-12
11.54781985	9.29E-12
11.88502227	7.12E-12
12.23207119	1.93E-12
12.58925412	2.61E-12
12.95686698	2.81E-12
13.33521432	2.48E-12
13.72460961	2.42E-12
14.12537545	5.39E-12
14.53784386	1.67E-12
14.96235656	2.75E-12
15.39926526	1.84E-12
15.84893192	2.37E-12
16.31172909	2.42E-12
16.78804018	3.43E-12
17.27825981	3.36E-12
17.7827941	3.83E-12
18.30206106	4.83E-12
18.83649089	3.51E-12
19.38652636	3.12E-12
19.95262315	1.99E-12
20.53525026	2.76E-12
21.1348904	3.67E-12
21.75204034	3.40E-12
22.38721139	3.46E-12
23.04092976	3.05E-12
23.71373706	2.71E-12
24.40619068	4.00E-12
25.11886432	8.32E-12
25.8523484	2.77E-10
26.6072506	5.68E-11
27.38419634	2.69E-12
28.18382931	3.61E-12
29.00681199	1.97E-12
29.85382619	1.73E-12
30.72557365	4.49E-12
31.6227766	7.71E-12
32.54617835	6.55E-12
33.49654392	3.84E-12
34.47466066	4.41E-12
35.48133892	5.96E-12
36.51741273	3.70E-12
37.58374043	3.27E-12
38.68120546	2.50E-12
39.81071706	3.31E-12
40.97321098	4.18E-12
42.16965034	2.75E-12
43.40102636	3.25E-12
44.66835922	2.31E-12
45.97269885	2.84E-12
47.3151259	3.03E-12
48.69675252	3.98E-12
50.11872336	2.99E-12
51.58221651	8.05E-12
53.08844442	2.74E-12
54.63865499	3.16E-12
56.23413252	2.91E-12
57.87619883	3.22E-12
59.56621435	9.46E-11
61.30557921	2.96E-12
63.09573445	3.40E-12
64.93816316	2.27E-12
66.83439176	4.73E-12
68.78599123	2.69E-12
70.79457844	3.32E-12
72.86181745	3.45E-12
74.98942093	3.44E-12
77.17915156	2.41E-12
79.43282347	3.84E-12
81.75230379	3.74E-12
84.13951416	3.12E-12
86.59643234	2.86E-12
89.12509381	2.89E-12
91.72759354	3.84E-12
94.40608763	7.55E-12
97.16279516	7.78E-12
100	4.10E-12
102.9200527	4.01E-12
105.9253725	2.69E-12
109.0184492	4.33E-12
112.2018454	2.00E-12
115.4781985	1.03E-11
118.8502227	2.36E-11
122.3207119	1.09E-11
125.8925412	4.22E-12
129.5686698	3.02E-12
133.3521432	4.39E-12
137.2460961	3.58E-12
141.2537545	2.43E-12
145.3784386	2.37E-12
149.6235656	3.30E-12
153.9926526	3.57E-12
158.4893192	3.65E-12
163.1172909	3.25E-12
167.8804018	1.97E-12
172.7825981	7.18E-12
177.827941	1.97E-11
183.0206106	3.35E-12
188.3649089	4.99E-12
193.8652636	4.76E-12
199.5262315	3.48E-12
205.3525026	3.42E-12
211.348904	2.62E-12
217.5204034	3.10E-12
223.8721139	3.10E-12
230.4092976	3.49E-12
237.1373706	1.05E-11
244.0619068	4.33E-12
251.1886432	3.49E-12
258.523484	2.76E-12
266.072506	3.17E-12
273.8419634	2.27E-12
281.8382931	3.38E-12
290.0681199	3.66E-12
298.5382619	6.65E-12
307.2557365	3.18E-12
316.227766	3.01E-12
325.4617835	3.07E-12
334.9654392	2.22E-12
344.7466066	3.44E-12
354.8133892	1.09E-11
365.1741273	2.51E-12
375.8374043	2.78E-12
386.8120546	3.78E-12
398.1071706	2.93E-12
409.7321098	8.60E-12
421.6965034	4.38E-12
434.0102636	3.14E-12
446.6835922	2.73E-12
459.7269885	2.56E-12
473.151259	4.19E-12
486.9675252	3.50E-12
501.1872336	3.05E-12
515.8221651	2.83E-12
530.8844442	3.79E-12
546.3865499	3.39E-12
562.3413252	3.88E-12
578.7619883	4.42E-12
595.6621435	3.61E-12
613.0557921	2.23E-12
630.9573445	3.45E-12
649.3816316	3.41E-12
668.3439176	2.78E-12
687.8599123	3.04E-12
707.9457844	3.64E-12
728.6181745	3.61E-12
749.8942093	2.85E-12
771.7915156	4.10E-12
794.3282347	4.60E-12
817.5230379	3.52E-12
841.3951416	3.28E-12
865.9643234	3.45E-12
891.2509381	3.34E-12
917.2759354	3.65E-12
944.0608763	2.90E-12
971.6279516	2.76E-12
